"","tl","model","mse"
"1",200,"ar",0.74692559308188
"2",205,"ar",0.705917903712295
"3",205,"ar",0.740220682184134
"4",205,"ar",0.696367059271866
"5",205,"ar",0.7229392047864
"6",205,"ar",0.697051661750546
"7",205,"ar",0.70660033737283
"8",205,"ar",0.698339928418935
"9",205,"ar",0.685015210663777
"10",205,"ar",0.719576747657806
"11",205,"ar",0.708885067070729
"12",205,"ar",0.716851223409724
"13",205,"ar",0.718399122152395
"14",205,"ar",0.697143047608871
"15",210,"ar",0.713645164854082
"16",210,"ar",0.714050012601313
"17",210,"ar",0.727971059941819
"18",210,"ar",0.69327521854754
"19",215,"ar",0.75643508866979
"20",215,"ar",0.757218307355003
"21",215,"ar",0.739724826970504
"22",220,"ar",0.716430042831357
"23",220,"ar",0.699840751400611
"24",220,"ar",0.725330143397319
"25",220,"ar",0.721711103257936
"26",225,"ar",0.699818215782242
"27",225,"ar",0.693852967164716
"28",225,"ar",0.691517267936637
"29",225,"ar",0.723280668296359
"30",225,"ar",0.712379376268622
"31",225,"ar",0.694266469486061
"32",225,"ar",0.69133438925194
"33",225,"ar",0.699493061197678
"34",225,"ar",0.754846300667256
"35",225,"ar",0.73017691398764
"36",225,"ar",0.710416919082033
"37",225,"ar",0.694531824662336
"38",225,"ar",0.712279443963229
"39",225,"ar",0.73446423395561
"40",225,"ar",0.745157812312847
"41",225,"ar",0.713313268851879
"42",225,"ar",0.731225763035112
"43",225,"ar",0.724127929388392
"44",225,"ar",0.7160726623726
"45",225,"ar",0.730778876846375
"46",225,"ar",0.718747190310864
"47",200,"var",0.755091295717191
"48",205,"var",0.695272896696251
"49",205,"var",0.728453810528023
"50",205,"var",0.691849055822199
"51",205,"var",0.710157697639958
"52",205,"var",0.695855168747239
"53",205,"var",0.700224411441403
"54",205,"var",0.684016869902588
"55",205,"var",0.676949267150824
"56",205,"var",0.711536689662666
"57",205,"var",0.692879967156849
"58",205,"var",0.716449847619589
"59",205,"var",0.702715759812149
"60",205,"var",0.700781600520504
"61",210,"var",0.704462751091514
"62",210,"var",0.710584188813518
"63",210,"var",0.71524193109289
"64",210,"var",0.702138930577119
"65",215,"var",0.752693060912353
"66",215,"var",0.738691761776675
"67",215,"var",0.740022310410667
"68",220,"var",0.708335953586869
"69",220,"var",0.696915332247009
"70",220,"var",0.722975079741821
"71",220,"var",0.721780171723913
"72",225,"var",0.695837777550413
"73",225,"var",0.674943136309395
"74",225,"var",0.687532519927838
"75",225,"var",0.715055107862175
"76",225,"var",0.698117125553265
"77",225,"var",0.688596857645427
"78",225,"var",0.685174423733732
"79",225,"var",0.694293881112064
"80",225,"var",0.747445144849524
"81",225,"var",0.726470650152023
"82",225,"var",0.704562295444036
"83",225,"var",0.68350631571566
"84",225,"var",0.698157309179504
"85",225,"var",0.721471877454294
"86",225,"var",0.744425416413872
"87",225,"var",0.706883833792548
"88",225,"var",0.725837028328322
"89",225,"var",0.716844715527234
"90",225,"var",0.712195135740868
"91",225,"var",0.713414034987518
"92",225,"var",0.71649119430183
