ID,KWAAD,DEPRE,DROOV,ANGST,ONTSP,BLIJ
1,1,5,12,1,83,49
1,21,21,20,1,40,31
1,1,1,1,1,83,41
1,1,1,1,1,81,40
1,1,1,1,1,80,30
1,1,1,1,1,31,22
1,1,1,1,1,83,65
1,1,1,1,1,78,41
1,1,1,1,21,41,81
1,1,1,1,1,75,81
1,1,1,1,1,67,41
1,1,1,1,1,25,21
1,1,9,7,8,30,21
1,1,1,1,1,63,1
1,1,1,1,1,82,59
1,1,1,1,1,69,69
1,1,1,1,1,74,78
1,39,1,1,10,22,41
1,1,1,31,20,44,29
1,1,1,1,1,68,51
1,1,1,1,1,52,49
1,1,1,1,27,46,53
1,10,1,1,1,31,72
1,1,1,1,9,32,63
1,1,1,1,1,68,73
1,1,1,1,1,75,79
1,1,1,1,1,55,79
1,1,1,1,1,53,60
1,1,1,1,1,46,72
1,1,1,1,1,51,54
1,1,1,1,1,71,41
1,1,1,1,1,38,67
1,1,1,1,1,40,81
1,1,1,1,1,60,61
1,1,1,1,1,68,75
1,1,49,1,1,61,80
1,1,1,1,1,62,50
1,1,1,1,1,42,52
1,1,1,21,1,47,59
1,1,1,13,1,70,53
1,1,1,31,1,70,59
1,1,1,16,1,60,59
1,1,1,20,1,42,52
1,1,1,1,1,50,60
1,1,1,1,1,66,79
1,1,1,1,1,72,75
1,1,1,1,11,49,83
1,1,1,1,1,50,81
1,1,1,1,1,72,68
2,8,10,16,7,89,63
2,10,1,13,16,61,77
2,1,16,16,2,65,64
2,15,1,10,1,62,82
2,1,1,26,1,91,62
2,17,1,15,1,47,77
2,8,15,9,9,56,51
2,1,18,27,5,61,56
2,11,22,32,1,68,52
2,1,7,13,9,61,70
2,11,4,26,12,73,53
2,16,7,22,15,42,59
2,30,2,20,13,68,46
2,14,17,24,1,74,60
2,1,1,27,1,70,55
2,19,8,16,1,37,70
2,26,12,21,17,37,61
2,27,16,16,48,24,46
2,6,4,2,7,59,40
2,1,7,20,7,84,42
2,25,7,27,11,52,42
2,15,20,42,6,60,56
2,3,1,25,1,60,59
2,5,1,19,1,59,64
2,14,14,19,5,61,68
2,16,16,19,1,61,71
2,9,1,16,12,54,61
2,1,13,1,1,64,54
2,1,1,6,7,78,65
2,26,1,9,19,44,62
2,23,18,30,7,47,50
2,1,13,10,8,67,53
2,17,1,5,3,61,62
2,22,7,8,1,60,59
2,27,1,1,4,36,39
2,22,9,8,11,66,52
2,19,1,1,15,62,67
2,17,15,9,8,64,62
2,20,12,17,1,39,63
2,22,9,9,1,61,57
2,20,1,14,1,44,54
2,12,17,4,10,39,61
2,24,1,11,9,57,59
2,26,10,19,9,75,57
2,11,8,21,8,71,58
2,1,5,13,1,74,59
3,1,14,17,9,46,53
3,1,14,9,11,48,62
3,34,26,52,45,41,23
3,10,20,23,16,50,52
3,1,1,66,23,26,20
3,1,42,59,2,55,42
3,40,26,10,1,14,22
3,12,21,32,20,60,26
3,1,1,17,3,69,71
3,9,1,12,1,78,76
3,53,8,13,32,57,15
3,37,5,1,6,59,25
3,10,49,45,1,62,49
3,47,6,39,14,15,45
3,15,1,17,35,52,49
3,1,1,1,1,18,78
3,1,1,1,1,38,69
3,53,11,12,8,13,24
3,9,1,1,3,31,22
3,45,5,10,3,1,33
3,37,8,9,1,53,61
3,54,1,43,1,42,38
3,18,27,53,47,43,48
3,1,1,55,57,15,24
3,1,52,52,47,5,15
3,1,1,24,32,51,54
3,1,31,31,51,54,52
3,2,1,15,36,61,55
3,42,43,1,20,21,47
3,1,41,1,1,54,42
3,55,1,26,23,34,30
3,44,57,61,41,19,19
3,34,3,45,12,68,61
3,20,9,16,9,34,47
3,1,20,47,13,39,47
3,8,1,12,3,47,62
3,1,40,1,2,59,55
3,48,1,12,1,54,61
3,1,1,9,4,50,53
3,61,40,1,12,23,43
3,1,6,8,2,75,79
3,48,1,31,2,38,47
3,63,1,1,1,61,63
3,1,1,1,1,57,48
3,48,1,1,1,47,53
4,13,5,5,12,72,36
4,3,3,6,10,79,78
4,11,2,6,1,86,75
4,36,9,3,5,72,36
4,59,20,14,10,27,29
4,62,55,88,40,12,13
4,64,69,69,43,12,12
4,59,58,61,12,19,19
4,21,40,48,19,21,24
4,17,24,19,12,82,68
4,26,24,33,14,59,35
4,12,5,1,1,89,61
4,41,17,51,10,28,33
4,9,10,16,4,52,50
4,9,8,5,12,65,54
4,3,1,1,6,77,68
4,25,14,3,7,73,44
4,1,1,21,1,59,50
4,75,67,74,12,17,12
4,83,82,95,6,19,5
4,26,41,11,14,45,39
4,8,11,19,5,64,61
4,2,10,6,2,79,61
4,1,4,1,2,82,63
4,1,1,5,12,53,60
4,1,2,1,4,51,60
4,8,1,1,7,64,61
4,5,4,5,2,67,4
4,2,1,1,1,82,86
4,1,1,2,1,73,61
4,1,1,1,9,70,60
4,1,5,4,4,69,61
4,4,2,1,2,59,55
4,1,1,1,1,41,68
4,1,1,1,4,65,54
4,1,1,1,25,61,64
4,1,1,1,1,59,57
4,3,1,1,2,57,45
4,1,1,1,1,65,73
4,1,1,1,1,61,42
4,1,1,1,1,52,40
4,1,1,1,3,60,30
4,3,1,1,1,59,47
4,5,2,1,1,67,38
4,6,5,7,6,56,55
4,4,1,3,6,75,42
4,1,1,1,1,61,6
4,1,1,12,14,36,51
4,1,10,9,5,59,56
4,1,2,1,15,50,50
4,5,4,2,2,46,54
4,6,3,1,4,60,50
4,7,1,2,5,11,12
5,9,14,12,14,33,51
5,10,10,12,5,32,48
5,8,5,5,5,69,39
5,8,1,3,5,54,59
5,6,6,5,9,84,86
5,6,4,6,8,18,44
5,6,11,5,10,53,77
5,7,6,7,7,79,89
5,7,2,5,5,41,82
5,4,6,7,8,54,51
5,5,3,4,3,77,81
5,6,5,4,5,42,88
5,6,4,1,6,47,81
5,4,1,1,1,67,82
5,1,1,28,3,75,45
5,1,1,1,5,70,86
5,1,1,1,1,41,44
5,1,1,1,1,77,92
5,1,1,1,1,100,93
5,1,1,1,1,75,53
5,1,1,1,1,68,78
5,1,1,1,2,87,87
5,1,1,1,1,82,91
5,1,1,21,1,62,40
5,3,1,2,1,59,84
5,1,1,5,1,80,82
5,1,1,1,1,79,85
5,15,1,1,1,59,86
5,32,1,1,1,26,85
5,1,1,1,1,68,100
5,1,5,1,1,80,59
5,1,1,1,1,80,79
5,1,1,9,1,73,59
5,1,1,23,1,78,42
5,1,20,19,1,78,53
5,1,2,56,4,77,47
5,1,1,42,1,64,45
5,1,23,59,1,77,41
5,1,1,1,1,88,69
5,1,1,25,52,26,50
5,1,1,1,1,77,77
5,1,1,1,1,80,88
5,1,1,1,1,81,92
5,1,1,1,1,76,80
5,1,1,1,1,100,81
5,1,1,1,1,81,84
5,1,1,7,1,80,43
5,4,1,26,1,80,71
5,1,1,1,1,89,82
5,2,1,2,1,89,82
5,1,1,1,1,79,81
5,1,1,1,1,88,100
5,1,1,1,1,80,80
5,1,1,1,1,80,78
5,1,1,23,1,89,60
6,6,11,1,7,82,92
6,1,20,8,10,68,70
6,1,10,12,1,88,77
6,13,19,6,13,14,79
6,1,1,30,1,94,71
6,1,1,1,1,69,87
6,1,1,1,8,86,52
6,1,1,1,1,100,79
6,1,2,1,1,66,71
6,1,62,84,60,1,1
6,1,1,35,1,100,49
6,1,13,20,1,84,61
6,1,1,28,1,75,53
6,14,9,10,4,76,75
6,3,1,16,4,77,66
6,5,1,16,1,55,63
6,5,3,1,2,84,69
6,1,6,3,1,85,76
6,17,1,12,1,73,61
6,1,1,9,1,49,50
6,1,1,46,1,53,45
6,1,4,1,1,69,48
6,1,1,1,1,93,68
6,1,13,18,1,68,60
6,1,1,1,1,73,56
6,1,1,1,1,76,73
6,1,1,1,4,68,80
6,1,1,24,1,69,74
6,53,51,49,6,54,35
6,1,1,1,1,89,91
6,1,1,1,1,77,100
6,1,1,17,1,81,73
6,1,1,3,1,90,89
6,1,6,1,1,83,84
6,8,7,16,9,73,50
6,1,1,1,1,67,79
6,8,9,11,5,79,94
6,1,1,1,100,92,100
6,1,1,1,1,79,100
6,1,6,1,6,96,72
6,5,1,1,4,99,86
6,10,1,1,1,26,28
6,1,1,1,3,63,100
6,1,1,1,1,76,100
6,14,4,1,1,100,100
6,3,1,1,4,100,96
6,26,1,26,1,60,65
6,22,3,9,1,62,84
6,50,15,12,10,49,64
6,20,7,87,12,74,78
6,1,1,1,16,90,77
7,20,26,21,7,75,68
7,75,14,24,55,77,84
7,17,11,19,15,69,74
7,7,9,3,10,58,71
7,7,6,25,7,52,46
7,5,3,5,5,45,64
7,14,20,17,12,75,71
7,9,47,26,23,72,73
7,9,16,11,18,70,61
7,1,15,22,1,78,56
7,17,50,24,3,33,59
7,12,16,18,15,37,71
7,54,55,3,14,75,50
7,49,75,64,69,42,48
7,12,8,13,10,48,47
7,12,8,11,50,66,56
7,5,33,7,4,50,52
7,50,25,20,9,47,64
7,12,8,11,5,50,61
7,6,43,7,8,57,66
7,12,5,10,11,52,68
7,20,16,33,15,50,34
7,14,15,23,15,28,42
7,12,18,8,11,71,47
7,46,12,1,12,10,51
7,12,51,5,12,51,41
7,12,16,7,5,67,63
7,7,6,3,8,73,55
7,12,6,7,4,50,50
7,14,13,13,15,62,5
7,11,12,7,6,69,68
7,40,26,51,43,43,42
7,29,6,9,10,63,68
7,12,18,9,18,69,69
7,27,89,12,5,57,81
7,9,18,9,9,50,69
7,14,53,8,11,75,14
7,14,19,4,15,54,59
7,14,14,19,1,68,66
7,25,12,5,26,61,63
7,15,13,7,11,52,28
7,9,45,6,8,49,63
7,10,23,50,8,77,67
7,27,10,11,5,72,56
7,11,18,17,18,63,50
7,34,49,42,38,39,45
7,19,12,21,8,69,9
7,16,14,19,14,73,66
7,14,18,15,59,74,83
7,9,26,6,18,60,32
8,1,1,1,14,67,71
8,13,1,1,1,100,83
8,1,1,1,1,70,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,75,76,30,26
8,1,1,1,1,71,60
8,1,1,1,1,62,32
8,1,1,1,1,77,74
8,1,1,1,1,42,64
8,1,1,1,1,72,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,77,100
8,2,1,1,1,70,100
8,1,1,1,1,79,92
8,1,1,1,1,72,77
8,1,1,1,1,90,100
8,1,1,1,1,100,100
8,1,1,1,1,83,100
8,1,1,1,1,89,78
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,73,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,60,1,1,1,69,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,38,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,68,72
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,75
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,76,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
8,1,1,1,1,100,100
9,11,12,19,19,36,48
9,37,8,14,33,30,76
9,19,16,14,21,49,66
9,13,11,16,19,68,80
9,38,27,36,23,39,48
9,5,5,10,23,59,58
9,3,6,1,8,53,85
9,8,6,3,33,80,75
9,38,7,14,42,82,55
9,6,7,2,13,34,95
9,5,3,5,16,24,89
9,10,7,13,7,58,95
9,6,7,5,19,47,100
9,33,10,5,12,82,75
9,7,6,12,5,88,92
9,22,14,13,26,13,59
9,24,11,26,17,39,52
9,34,15,10,29,32,50
9,12,5,20,10,74,54
9,6,5,14,12,62,47
9,21,11,20,31,23,34
9,20,6,20,16,53,51
9,10,5,17,11,74,57
9,15,12,14,19,79,58
9,6,4,7,23,68,50
9,13,11,25,25,70,68
9,7,5,7,21,81,61
9,19,11,15,25,70,62
9,26,4,12,22,40,67
9,28,26,16,26,32,30
9,11,9,26,26,32,54
9,10,5,18,23,46,57
9,11,8,15,12,45,67
9,16,6,14,29,70,78
9,29,30,23,26,36,41
9,12,26,59,12,32,18
9,49,43,58,27,17,17
9,55,55,64,38,14,20
9,25,26,32,12,22,26
9,33,22,22,21,53,68
9,54,52,45,13,25,20
9,24,42,48,19,41,31
9,78,28,38,17,21,37
10,60,59,64,53,23,24
10,5,13,14,19,72,65
10,5,8,21,26,67,53
10,22,1,1,13,76,1
10,2,1,4,21,62,59
10,5,42,54,59,61,59
10,8,17,32,54,40,51
10,10,27,19,50,60,42
10,12,28,9,45,58,48
10,57,29,61,63,24,50
10,44,9,16,69,8,24
10,16,67,58,56,17,23
10,5,20,7,22,59,71
10,9,11,43,44,70,50
10,52,67,60,62,68,21
10,16,50,11,61,31,42
10,18,16,23,50,18,31
10,1,3,16,9,76,68
10,7,19,25,23,76,59
10,8,12,8,1,59,55
10,7,8,9,50,61,58
10,9,13,6,12,65,40
10,1,12,34,47,45,51
10,3,8,6,27,51,50
10,2,26,33,18,66,59
10,7,17,16,49,69,62
10,47,73,68,61,23,13
10,41,12,44,56,68,33
10,3,10,4,11,85,72
10,12,21,12,25,66,61
10,6,11,14,12,82,61
10,6,3,17,11,57,54
10,11,50,51,61,61,16
10,29,54,19,15,66,39
10,37,61,56,56,66,12
10,43,66,68,52,33,17
10,46,78,69,50,18,3
10,55,68,77,78,47,19
10,58,56,61,57,50,16
10,64,31,71,69,37,10
10,47,75,61,79,15,21
10,30,52,59,47,44,47
10,29,65,68,57,61,23
10,53,37,58,49,68,50
10,49,46,54,58,47,53
10,47,49,54,42,50,34
10,65,61,58,61,20,21
10,25,43,50,57,74,50
10,33,50,54,25,54,52
10,12,40,35,35,86,72
10,38,38,35,30,47,62
10,42,10,32,26,75,65
10,77,32,54,59,36,26
10,16,34,19,50,67,56
10,5,16,11,18,80,66
10,10,19,5,23,62,80
11,5,21,12,6,99,68
11,7,30,23,5,89,71
11,3,11,11,5,30,85
11,16,20,18,18,36,76
11,3,9,8,8,96,96
11,3,8,21,12,71,84
11,36,38,60,5,63,22
11,75,20,86,62,12,9
11,61,58,82,45,74,13
11,13,86,88,9,96,11
11,5,60,73,8,83,33
11,10,71,85,7,95,16
11,8,82,85,12,89,21
11,5,75,82,8,96,19
11,5,58,69,6,95,43
11,7,56,73,8,75,28
11,5,62,62,8,76,26
11,7,60,61,8,83,20
11,6,61,80,15,91,14
11,7,58,68,8,89,39
11,6,61,89,9,94,19
11,10,56,59,8,98,45
11,4,51,45,6,100,39
11,11,40,29,17,82,72
11,10,37,46,12,85,70
11,10,39,65,11,89,43
11,9,60,67,5,82,37
11,4,54,40,6,87,71
11,6,36,44,5,28,50
11,5,29,37,7,61,59
11,5,43,51,5,73,61
11,1,13,25,7,71,56
11,7,75,79,3,85,33
11,6,53,66,4,67,24
11,5,41,61,7,31,33
11,12,46,29,12,26,26
11,7,61,60,8,71,33
11,3,38,40,7,72,45
11,2,27,32,7,40,58
11,1,45,41,4,67,52
11,7,39,37,7,66,49
11,2,67,74,4,75,16
11,2,37,28,5,87,62
11,2,24,36,7,95,68
11,5,29,42,2,87,54
12,11,11,24,9,64,52
12,10,15,14,13,82,81
12,11,13,12,12,58,55
12,12,19,9,13,66,51
12,8,6,12,10,90,88
12,5,10,11,5,87,81
12,12,9,10,11,81,82
12,6,6,6,9,76,77
12,7,7,9,7,78,85
12,9,9,11,9,68,72
12,2,1,1,12,80,78
12,17,1,5,4,37,59
12,6,4,1,8,77,90
12,1,7,5,9,77,75
12,16,19,14,13,74,42
12,4,8,10,9,77,72
12,5,13,19,7,53,58
12,5,8,20,6,69,72
12,4,5,5,6,67,54
12,3,18,25,7,55,35
12,6,19,37,2,51,46
12,1,13,17,4,58,47
12,2,23,28,5,57,46
12,1,21,17,1,58,54
12,1,24,29,1,66,53
12,1,1,7,1,64,62
12,5,14,20,2,61,60
12,1,9,18,14,59,61
12,2,9,23,4,61,58
12,5,22,14,10,72,64
12,1,16,22,15,66,66
12,8,16,20,9,63,71
12,1,9,25,1,44,36
12,11,12,8,1,68,68
12,7,11,26,12,60,63
12,4,8,39,9,62,57
12,15,15,8,12,69,59
12,7,1,16,5,63,65
12,7,9,20,7,40,47
12,6,14,21,9,33,52
12,1,9,32,7,61,56
12,4,4,22,2,40,47
12,14,33,35,14,61,54
12,4,20,34,9,75,64
12,6,9,1,1,68,64
12,7,4,19,2,68,71
12,7,24,24,7,63,60
12,6,16,25,10,40,54
12,5,6,27,1,58,60
12,19,26,36,1,61,62
12,1,8,11,4,68,69
12,10,9,12,10,70,69
12,11,12,15,5,64,67
13,11,19,17,26,58,30
13,25,19,12,19,68,19
13,12,30,72,18,32,54
13,29,45,67,20,59,11
13,21,15,45,9,78,17
13,25,12,46,18,62,57
13,13,14,78,19,73,35
13,9,37,68,9,32,33
13,48,29,48,27,71,40
13,19,31,17,9,73,43
13,19,19,30,7,67,38
13,10,20,20,10,19,52
13,10,13,15,12,81,57
13,17,36,49,21,70,23
13,19,27,28,21,30,43
13,14,28,67,9,40,49
13,26,26,45,21,25,27
13,24,16,52,15,75,68
13,12,11,31,19,65,21
13,22,17,53,16,25,25
13,10,18,37,9,69,46
13,13,16,44,12,71,42
13,15,16,28,10,37,39
13,12,19,19,19,67,24
13,7,12,22,15,70,22
13,10,13,11,13,59,48
13,7,13,30,11,69,54
13,1,10,30,12,59,53
13,14,15,25,15,68,49
13,13,11,34,9,61,39
13,9,12,23,12,54,21
13,13,12,26,13,40,42
13,18,21,43,1,59,37
13,23,13,22,7,61,43
13,10,10,29,5,31,53
13,11,15,26,9,68,64
13,6,12,23,13,74,50
13,27,16,40,7,32,56
13,31,19,36,1,18,45
13,26,14,10,9,17,47
13,11,11,10,1,83,19
13,11,11,20,7,30,47
13,9,12,19,1,73,63
13,15,14,17,20,68,55
