"","model","tl","fold","mse"
"1","ar",200,"1",0.715605709752533
"2","ar",205,"1",0.718401082024495
"3","ar",205,"1",0.733141801498682
"4","ar",205,"1",0.679334399284947
"5","ar",205,"1",0.75100633084898
"6","ar",205,"1",0.62855124208299
"7","ar",205,"1",0.699948876116186
"8","ar",205,"1",0.700976061773996
"9","ar",205,"1",0.599097317463723
"10","ar",205,"1",0.63683508620199
"11","ar",205,"1",0.67728019541393
"12","ar",205,"1",0.734925894063805
"13","ar",205,"1",0.700343690109141
"14","ar",205,"1",0.73690371343159
"15","ar",210,"1",0.689940677549174
"16","ar",210,"1",0.784642342575697
"17","ar",210,"1",0.710887999085204
"18","ar",210,"1",0.724557567599724
"19","ar",215,"1",0.821163161237783
"20","ar",215,"1",0.754879240835366
"21","ar",215,"1",0.692886694551012
"22","ar",220,"1",0.699361962489082
"23","ar",220,"1",0.68047979191684
"24","ar",220,"1",0.708098700935778
"25","ar",220,"1",0.710809811548363
"26","ar",225,"1",0.730797003127023
"27","ar",225,"1",0.694428670176315
"28","ar",225,"1",0.696283398614843
"29","ar",225,"1",0.687874713303306
"30","ar",225,"1",0.733206606270672
"31","ar",225,"1",0.695172902913169
"32","ar",225,"1",0.750897624068178
"33","ar",225,"1",0.701491987312902
"34","ar",225,"1",0.744023824964238
"35","ar",225,"1",0.766952366372842
"36","ar",225,"1",0.726833287206903
"37","ar",225,"1",0.672850322827738
"38","ar",225,"1",0.673213931572629
"39","ar",225,"1",0.749695128991844
"40","ar",225,"1",0.665871822242182
"41","ar",225,"1",0.723331065393519
"42","ar",225,"1",0.734328554817414
"43","ar",225,"1",0.724416892313464
"44","ar",225,"1",0.69679364071689
"45","ar",225,"1",0.702322512317218
"46","ar",225,"1",0.753464329732864
"47","ar",200,"2",0.761036074393494
"48","ar",205,"2",0.672867343368506
"49","ar",205,"2",0.791014232816914
"50","ar",205,"2",0.703776313471315
"51","ar",205,"2",0.710463367255061
"52","ar",205,"2",0.761787347333599
"53","ar",205,"2",0.758154330734482
"54","ar",205,"2",0.740755461834115
"55","ar",205,"2",0.671669849967631
"56","ar",205,"2",0.750779440377362
"57","ar",205,"2",0.730949308650899
"58","ar",205,"2",0.727209561444852
"59","ar",205,"2",0.71811860891945
"60","ar",205,"2",0.664749306526097
"61","ar",210,"2",0.759623706174321
"62","ar",210,"2",0.678265459837191
"63","ar",210,"2",0.798614252082379
"64","ar",210,"2",0.683192958096612
"65","ar",215,"2",0.725107208941675
"66","ar",215,"2",0.712424895184788
"67","ar",215,"2",0.730625563048445
"68","ar",220,"2",0.70850990472601
"69","ar",220,"2",0.68716647238614
"70","ar",220,"2",0.772851924030462
"71","ar",220,"2",0.803683777431757
"72","ar",225,"2",0.694859283374557
"73","ar",225,"2",0.690706154985281
"74","ar",225,"2",0.687155459903541
"75","ar",225,"2",0.735549734373404
"76","ar",225,"2",0.684641500344246
"77","ar",225,"2",0.696852302495046
"78","ar",225,"2",0.635180837331478
"79","ar",225,"2",0.704785323262645
"80","ar",225,"2",0.755048456175001
"81","ar",225,"2",0.7703114912532
"82","ar",225,"2",0.71615993486107
"83","ar",225,"2",0.726715270166195
"84","ar",225,"2",0.682505660411676
"85","ar",225,"2",0.759403720668323
"86","ar",225,"2",0.698706430083956
"87","ar",225,"2",0.741228425909831
"88","ar",225,"2",0.777117891846492
"89","ar",225,"2",0.667581877830658
"90","ar",225,"2",0.710962646353535
"91","ar",225,"2",0.730175499879392
"92","ar",225,"2",0.682584107952725
"93","ar",200,"3",0.74226831719242
"94","ar",205,"3",0.757997530187539
"95","ar",205,"3",0.712360785169353
"96","ar",205,"3",0.635363494187247
"97","ar",205,"3",0.667660919531154
"98","ar",205,"3",0.697925372525801
"99","ar",205,"3",0.711421411061701
"100","ar",205,"3",0.647318490719316
"101","ar",205,"3",0.706746526666019
"102","ar",205,"3",0.764837887357398
"103","ar",205,"3",0.714069279869483
"104","ar",205,"3",0.659839646116754
"105","ar",205,"3",0.817410007108011
"106","ar",205,"3",0.69278818050752
"107","ar",210,"3",0.687582786189709
"108","ar",210,"3",0.719957712667206
"109","ar",210,"3",0.71177588805984
"110","ar",210,"3",0.702716172447827
"111","ar",215,"3",0.769677561258274
"112","ar",215,"3",0.81623514262359
"113","ar",215,"3",0.726987133570667
"114","ar",220,"3",0.712661090797318
"115","ar",220,"3",0.753667400928331
"116","ar",220,"3",0.708673577296603
"117","ar",220,"3",0.669459740058182
"118","ar",225,"3",0.693790225535084
"119","ar",225,"3",0.647178619428295
"120","ar",225,"3",0.719955595353109
"121","ar",225,"3",0.766216748098808
"122","ar",225,"3",0.706184551107122
"123","ar",225,"3",0.702157197388893
