"","model","tl","fold","mse"
"1","ar",16,"1",0.785011692033727
"2","ar",16,"1",0.546976481908382
"3","ar",16,"1",0.571826779382311
"4","ar",26,"1",0.56575108344715
"5","ar",26,"1",0.509117009000712
"6","ar",26,"1",0.771694333868781
"7","ar",26,"1",0.515178732827645
"8","ar",26,"1",0.718806843721068
"9","ar",26,"1",0.721866323048002
"10","ar",26,"1",1.08974696683014
"11","ar",26,"1",1.37276412160046
"12","ar",26,"1",0.551079813803788
"13","ar",26,"1",0.85605934228429
"14","ar",26,"1",0.816588515296843
"15","ar",26,"1",0.751962174165618
"16","ar",26,"1",0.841268288013722
"17","ar",26,"1",0.997059210030901
"18","ar",16,"2",1.20051440812587
"19","ar",16,"2",0.72975574802782
"20","ar",16,"2",1.41714162069941
"21","ar",26,"2",0.78030480835514
"22","ar",26,"2",0.703211277843123
"23","ar",26,"2",0.8463260965804
"24","ar",26,"2",0.788176865842053
"25","ar",26,"2",0.850730025902414
"26","ar",26,"2",0.583711539979664
"27","ar",26,"2",0.947441547571247
"28","ar",26,"2",1.00995426614039
"29","ar",26,"2",1.93283411171212
"30","ar",26,"2",0.69264883587956
"31","ar",26,"2",0.597434314385881
"32","ar",26,"2",0.981722033814118
"33","ar",26,"2",1.16171108526601
"34","ar",26,"2",0.582301864944392
"35","ar",16,"3",1.1939528455982
"36","ar",16,"3",0.832645684006048
"37","ar",16,"3",0.57948511931699
"38","ar",26,"3",0.806155425127944
"39","ar",26,"3",0.964769102213956
"40","ar",26,"3",1.06859731151052
"41","ar",26,"3",0.655360814004122
"42","ar",26,"3",0.904078277991404
"43","ar",26,"3",0.685493056747812
"44","ar",26,"3",1.0725813569901
"45","ar",26,"3",0.924827453346929
"46","ar",26,"3",1.17203748249455
"47","ar",26,"3",1.08533947264487
"48","ar",26,"3",0.851365533509174
"49","ar",26,"3",0.734485992571954
"50","ar",26,"3",0.848267742680206
"51","ar",26,"3",1.00634237397989
"52","ar",16,"4",0.733751388194927
"53","ar",16,"4",0.482469606410004
"54","ar",16,"4",0.619073449552135
"55","ar",26,"4",0.986236483112955
"56","ar",26,"4",1.22818231599261
"57","ar",26,"4",0.612943260612128
"58","ar",26,"4",0.969592365010748
"59","ar",26,"4",1.28290604052319
"60","ar",26,"4",0.628921537457803
"61","ar",26,"4",0.670946866545237
"62","ar",26,"4",0.723313107052247
"63","ar",26,"4",0.805643198689126
"64","ar",26,"4",0.70957242583612
"65","ar",26,"4",0.619561934378279
"66","ar",26,"4",0.983044160332429
"67","ar",26,"4",0.965575154426461
"68","ar",26,"4",1.10964098838817
"69","ar",16,"5",2.10169986388152
"70","ar",16,"5",0.728521173665701
"71","ar",16,"5",0.634810047689817
"72","ar",26,"5",0.511961382267262
"73","ar",26,"5",0.681984572941019
"74","ar",26,"5",0.600714219798464
"75","ar",26,"5",0.896727908828979
"76","ar",26,"5",0.791966445544561
"77","ar",26,"5",0.856926096005753
"78","ar",26,"5",1.1844242225972
